Papers for Liqing Zhang, Virginia Polytechnic Institute and State University
Tao Xie ; ICSE 2008
Tao Xie ; ICSE 2007
Tao Xie ; ICSE 2011
Tao Xie ; ICSE 2013
Tao Xie ; ICSE 2012
Tao Xie ; ICSE 2006
Tao Xie ; ICSE 2005
Tao Xie ; ICSE 2013
Tao Xie ; ICSE 2009
Tao Xie ; ICSE 2006
Tao Xie ; ICSE 2012
Tao Xie ; ICSE 2009
Tao Xie ; SIGSOFT FSE 2011
Tao Xie ; SIGSOFT FSE 2012
Tao Xie ; SIGSOFT FSE 2012
Tao Xie ; SIGSOFT FSE 2010
Tao Xie ; SIGSOFT FSE 2012
Tao Xie ; ESEC/SIGSOFT FSE 2013
Tao Xie ; ESEC/SIGSOFT FSE 2007
Tao Xie ; SIGSOFT FSE 2010
Tao Xie ; ESEC/SIGSOFT FSE 2009

Papers for Shubhangi Saraf, Rutgers - State University of New Jersey - New Brunswick
Shubhangi Saraf ; STOC 2011
Shubhangi Saraf ; STOC 2014
Shubhangi Saraf ; STOC 2010
Shubhangi Saraf ; STOC 2013
Shubhangi Saraf ; STOC 2011
Shubhangi Saraf ; STOC 2014
Shubhangi Saraf ; FOCS 2011
Shubhangi Saraf ; FOCS 2014
Shubhangi Saraf ; FOCS 2009
Shubhangi Saraf ; FOCS 2009

Papers for Swastik Kopparty, Rutgers - State University of New Jersey - New Brunswick
Swastik Kopparty ; INFOCOM 2006
Swastik Kopparty ; PODS 2004
Swastik Kopparty ; STOC 2009
Swastik Kopparty ; STOC 2009
Swastik Kopparty ; STOC 2008
Swastik Kopparty ; STOC 2010
Swastik Kopparty ; STOC 2011
Swastik Kopparty ; STOC 2013
Swastik Kopparty ; STOC 2011
Swastik Kopparty ; STOC 2010
Swastik Kopparty ; FOCS 2013
Swastik Kopparty ; FOCS 2010
Swastik Kopparty ; FOCS 2006
Swastik Kopparty ; FOCS 2013
Swastik Kopparty ; FOCS 2009

Papers for Randall Davis, Massachusetts Institute of Technology
Randall Davis ; AAAI 2014
Randall Davis ; AAAI 2007
Randall Davis ; AAAI 2015
Randall Davis ; AAAI 2004
Randall Davis ; AAAI 2008
Randall Davis ; AAAI 2007
Randall Davis ; AAAI 2004
Randall Davis ; NIPS 2009
Randall Davis ; IJCAI 2009
Randall Davis ; IJCAI 2005
Randall Davis ; IJCAI 2013
Randall Davis ; IJCAI 2003
Randall Davis ; IJCAI 2015
Randall Davis ; IJCAI 2009
Randall Davis ; IJCAI 2001

Papers for Gregory Shakhnarovich, University of Chicago
Gregory Shakhnarovich ; ACM Trans. Graph. 2005
Gregory Shakhnarovich ; NIPS 2006
Gregory Shakhnarovich ; NIPS 2010
Gregory Shakhnarovich ; NIPS 2002
Gregory Shakhnarovich ; ICML 2001
Gregory Shakhnarovich ; ICML 2006

Papers for Sarita V. Adve, University of Illinois at Urbana-Champaign
Sarita V. Adve ; HPCA 2009
Sarita V. Adve ; SIGMETRICS 2007
Sarita V. Adve ; PODC 2009
Sarita V. Adve ; POPL 2011
Sarita V. Adve ; POPL 2005
Sarita V. Adve ; MICRO 2009
Sarita V. Adve ; MICRO 2001
Sarita V. Adve ; MICRO 2015
Sarita V. Adve ; ISCA 2015
Sarita V. Adve ; ISCA 2005
Sarita V. Adve ; ISCA 2004
Sarita V. Adve ; ISCA 2001
Sarita V. Adve ; ISCA 2008
Sarita V. Adve ; ISCA 2004
Sarita V. Adve ; ISCA 2000
Sarita V. Adve ; ISCA 2014
Sarita V. Adve ; PLDI 2008
Sarita V. Adve ; OOPSLA 2009
Sarita V. Adve ; ASPLOS 2015
Sarita V. Adve ; ASPLOS 2002
Sarita V. Adve ; ASPLOS 2004
Sarita V. Adve ; ASPLOS 2013
Sarita V. Adve ; ASPLOS 2008
Sarita V. Adve ; ASPLOS 2012

Papers for Bonnie Berger, Massachusetts Institute of Technology
Bonnie Berger ; SODA 2008
Bonnie Berger ; ICML 2005
Bonnie Berger ; ICML 2008

Papers for Stephen Checkoway, Johns Hopkins University
Stephen Checkoway ; ACM Conference on Computer and Communications Security 2010
Stephen Checkoway ; ACM Conference on Computer and Communications Security 2014
Stephen Checkoway ; IEEE Symposium on Security and Privacy 2010
Stephen Checkoway ; USENIX Security Symposium 2011
Stephen Checkoway ; USENIX Security Symposium 2011
Stephen Checkoway ; ASPLOS 2013

Papers for S. Muthukrishnan, Rutgers - State University of New Jersey - New Brunswick
S. Muthukrishnan ; PVLDB 2010
S. Muthukrishnan ; SIGMOD Conference 2003
S. Muthukrishnan ; SIGMOD Conference 2006
S. Muthukrishnan ; SIGMOD Conference 2004
S. Muthukrishnan ; SIGMOD Conference 2004
S. Muthukrishnan ; SIGMOD Conference 2000
S. Muthukrishnan ; SIGMOD Conference 2005
S. Muthukrishnan ; SIGMOD Conference 2005
S. Muthukrishnan ; SIGMOD Conference 2002
S. Muthukrishnan ; INFOCOM 2004
S. Muthukrishnan ; INFOCOM 2000
S. Muthukrishnan ; INFOCOM 2000
S. Muthukrishnan ; INFOCOM 2000
S. Muthukrishnan ; VLDB 2005
S. Muthukrishnan ; VLDB 2003
S. Muthukrishnan ; VLDB 2002
S. Muthukrishnan ; VLDB 2002
S. Muthukrishnan ; VLDB 2003
S. Muthukrishnan ; VLDB 2000
S. Muthukrishnan ; VLDB 2002
S. Muthukrishnan ; VLDB 2001
