P. Sadayappan,Ohio State University
Paolo A. G. Sivilotti,Ohio State University
Prasun Sinha,Ohio State University
Radu Teodorescu,Ohio State University
Raghu Machiraju,Ohio State University
Rephael Wenger,Ohio State University
Roger Crawfis,Ohio State University
Spyros Blanas,Ohio State University
Srinivasan Parthasarathy,Ohio State University
Tamal K. Dey,Ohio State University
Ten-Hwang Lai,Ohio State University
Xiaodong Zhang,Ohio State University
Yusu Wang,Ohio State University
Avi Silberschatz,Yale University
Brian Scassellati,Yale University
Dana Angluin,Yale University
Daniel A. Spielman,Yale University
Daniel Abadi,Yale University
David Gelernter,Yale University
Drew McDermott,Yale University
Holly E. Rushmeier,Yale University
James Aspnes,Yale University
Joan Feigenbaum,Yale University
Julie Dorsey,Yale University
Michael J. Fischer,Yale University
Ruzica Piskac,Yale University
Stanley C. Eisenstat,Yale University
Steven W. Zucker,Yale University
Vladimir Rokhlin,Yale University
Yang Richard Yang,Yale University
Zhong Shao,Yale University
Adam Wierman,California Institute of Technology
Alain J. Martin,California Institute of Technology
Alan H. Barr,California Institute of Technology
Christopher Umans,California Institute of Technology
Erik Winfree,California Institute of Technology
Katrina Ligett,California Institute of Technology
Leonard J. Schulman,California Institute of Technology
Mathieu Desbrun,California Institute of Technology
Peter Schroeder,California Institute of Technology
Steven Low,California Institute of Technology
Thomas Vidick,California Institute of Technology
Tracey Ho,California Institute of Technology
Venkat Chandrasekaran,California Institute of Technology
Yaser S. Abu-Mostafa,California Institute of Technology
Yisong Yue,California Institute of Technology
Bernd Hamann,University of California - Davis
Bertram Ludäscher,University of California - Davis
Biswanath Mukherjee,University of California - Davis
Daniel Gusfield,University of California - Davis
Dipak Ghosal,University of California - Davis
François Gygi,University of California - Davis
Hao Chen,University of California - Davis
Ian Davidson,University of California - Davis
Ilias Tagkopoulos,University of California - Davis
Karl N. Levitt,University of California - Davis
Kenneth I. Joy,University of California - Davis
Kwan-Liu Ma,University of California - Davis
Matthew Bishop,University of California - Davis
Matthew K. Franklin,University of California - Davis
Matthew K. Farrens,University of California - Davis
Michael Neff,University of California - Davis
Nelson Max,University of California - Davis
Nina Amenta,University of California - Davis
Norman S. Matloff,University of California - Davis
Patrice Koehl,University of California - Davis
Phillip Rogaway,University of California - Davis
Prasant Mohapatra,University of California - Davis
Premkumar T. Devanbu,University of California - Davis
Raissa D'Souza,University of California - Davis
Raju Pandey,University of California - Davis
Ronald A. Olsson,University of California - Davis
Shyhtsun Felix Wu,University of California - Davis
Vladimir Filkov,University of California - Davis
Xin Liu,University of California - Davis
Zhaojun Bai,University of California - Davis
Zhendong Su,University of California - Davis
Cindy Rubio-González,University of California - Davis
Abraham H. Haddad,Northwestern University
Aggelos K. Katsaggelos,Northwestern University
Alan V. Sahakian,Northwestern University
Aleksandar Kuzmanovic,Northwestern University
Allen Taflove,Northwestern University
Alok N. Choudhary,Northwestern University
Arthur R. Butz,Northwestern University
Benjamin Watson,Northwestern University
Brenna Argall,Northwestern University
Bryan Pardo,Northwestern University
Chang Liu,Northwestern University
Chi-Haur Wu,Northwestern University
Christopher Riesbeck,Northwestern University
Chung-Chieh Lee,Northwestern University
Don Norman,Northwestern University
Dongning Guo,Northwestern University
Doug Downey,Northwestern University
Fabián E. Bustamante,Northwestern University
Goce Trajcevski,Northwestern University
Gokhan Memik,Northwestern University
Hai Zhou,Northwestern University
Haoqi Zhang,Northwestern University
Hooman Mohseni,Northwestern University
Horace P. Yuen,Northwestern University
Ian Horswill,Northwestern University
Jack Tumblin,Northwestern University
Jason D. Hartline,Northwestern University
Kenneth D. Forbus,Northwestern University
Koray Aydin,Northwestern University
Kristian J. Hammond,Northwestern University
Larry Birnbaum,Northwestern University
Lawrence J. Henschen,Northwestern University
Louis Gomez,Northwestern University
Manijeh Razeghi,Northwestern University
Martin A. Plonus,Northwestern University
Matthew Grayson,Northwestern University
Michael L. Honig,Northwestern University
Michael Horn,Northwestern University
Ming-Yang Kao,Northwestern University
Morteza Amir Rahimi,Northwestern University
Nikos Hardavellas,Northwestern University
Oliver Cossairt,Northwestern University
Peter A. Dinda,Northwestern University
Peter Scheuermann,Northwestern University
Prem Kumar,Northwestern University
Randall Berry,Northwestern University
Randy A. Freeman,Northwestern University
Robert Bruce Findler,Northwestern University
Robert P. Dick,Northwestern University
Russ Joseph,Northwestern University
Seda Ogrenci Memik,Northwestern University
Selim M. Shahriar,Northwestern University
Seng-Tiong Ho,Northwestern University
Thrasyvoulos N. Pappas,Northwestern University
Tom Hinrichs,Northwestern University
Uri Wilensky,Northwestern University
Wei-Chung Lin,Northwestern University
Yan Chen,Northwestern University
Ying Wu,Northwestern University
Allan Gottlieb,New York University
Benjamin Goldberg,New York University
Bhubaneswar Mishra,New York University
Chee K. Yap,New York University
Christoph Bregler,New York University
Clark Barrett,New York University
Davi Geiger,New York University
David Sontag,New York University
Denis Zorin,New York University
Dennis Shasha,New York University
Ernest Davis,New York University
Helen Nissenbaum,New York University
Jinyang Li,New York University
Joel Spencer,New York University
Juliana Freire,New York University
Ken Perlin,New York University
Lakshminarayanan Subramanian,New York University
Margaret H. Wright,New York University
Mehryar Mohri,New York University
Michael L. Overton,New York University
Michael Walfish,New York University
Mohamed Zahran,New York University
Oded Regev,New York University
Olof B. Widlund,New York University
Panayotis Mavromatis,New York University
Patrick Cousot,New York University
Ralph Grishman,New York University
Richard Bonneau,New York University
Richard Cole,New York University
Rob Fergus,New York University
Robert Grimm,New York University
Subhash Khot,New York University
Thomas Wies,New York University
Victor Shoup,New York University
Yann LeCun,New York University
Yevgeniy Dodis,New York University
Zvi M. Kedem,New York University
Alan L. Cox,Rice University
Chris Jermaine,Rice University
Dan S. Wallach,Rice University
David B. Johnson,Rice University
Devika Subramanian,Rice University
James McLurkin,Rice University
Joe Warren,Rice University
John M. Mellor-Crummey,Rice University
Keith D. Cooper,Rice University
Krishna V. Palem,Rice University
Luay Nakhleh,Rice University
Lydia E. Kavraki,Rice University
Moshe Y. Vardi,Rice University
Robert Cartwright,Rice University
Ronald N. Goldman,Rice University
Scott Cutler,Rice University
Scott Rixner,Rice University
Swarat Chaudhuri,Rice University
T. S. Eugene Ng,Rice University
Vivek Sarkar,Rice University
Ana Milanova,Rensselaer Polytechnic Institute
Barbara Cutler,Rensselaer Polytechnic Institute
Boleslaw K. Szymanski,Rensselaer Polytechnic Institute
Carlos Varela,Rensselaer Polytechnic Institute
Charles Stewart,Rensselaer Polytechnic Institute
Christopher Bystroff,Rensselaer Polytechnic Institute
Christopher D. Carothers,Rensselaer Polytechnic Institute
David Isaacson,Rensselaer Polytechnic Institute
David L. Spooner,Rensselaer Polytechnic Institute
Elliot Anshelevich,Rensselaer Polytechnic Institute
Francine Berman,Rensselaer Polytechnic Institute
Heng Ji,Rensselaer Polytechnic Institute
Jeff Trinkle,Rensselaer Polytechnic Institute
Jim Hendler,Rensselaer Polytechnic Institute
Lirong Xia,Rensselaer Polytechnic Institute
Malik Magdon-Ismail,Rensselaer Polytechnic Institute
Mark Goldberg,Rensselaer Polytechnic Institute
Martin Hardwick,Rensselaer Polytechnic Institute
Michael J. Wozny,Rensselaer Polytechnic Institute
Mohammed Zaki,Rensselaer Polytechnic Institute
Mukkai Krishnamoorthy,Rensselaer Polytechnic Institute
Petros Drineas,Rensselaer Polytechnic Institute
Ron Eglash,Rensselaer Polytechnic Institute
Selmer Bringsjord,Rensselaer Polytechnic Institute
Sergei Nirenburg,Rensselaer Polytechnic Institute
Sibel Adali,Rensselaer Polytechnic Institute
Stacy Patterson,Rensselaer Polytechnic Institute
Wayne D. Gray,Rensselaer Polytechnic Institute
Wm. Randolph Franklin,Rensselaer Polytechnic Institute
Adam Klivans,University of Texas - Austin
Alan Cline,University of Texas - Austin
Aloysius K. Mok,University of Texas - Austin
Anna Gál,University of Texas - Austin
Brent Waters,University of Texas - Austin
Calvin Lin,University of Texas - Austin
Chandrajit Bajaj,University of Texas - Austin
Dana H. Ballard,University of Texas - Austin
Daniel P. Miranker,University of Texas - Austin
David Zuckerman,University of Texas - Austin
Don S. Batory,University of Texas - Austin
Donald S. Fussell,University of Texas - Austin
E. Allen Emerson,University of Texas - Austin
Emmett Witchel,University of Texas - Austin
Eric Price,University of Texas - Austin
Etienne Vouga,University of Texas - Austin
Gordon S. Novak Jr.,University of Texas - Austin
C. Greg Plaxton,University of Texas - Austin
Christopher J. Rossbach,University of Texas - Austin
Isil Dillig,University of Texas - Austin
J. Strother Moore,University of Texas - Austin
James C. Browne,University of Texas - Austin
Jayadev Misra,University of Texas - Austin
Keshav Pingali,University of Texas - Austin
Kristen Grauman,University of Texas - Austin
Lorenzo Alvisi,University of Texas - Austin
Michael Dahlin,University of Texas - Austin
Mohamed G. Gouda,University of Texas - Austin
Peter Stone,University of Texas - Austin
Raymond J. Mooney,University of Texas - Austin
Risto Miikkulainen,University of Texas - Austin
Robert A. van de Geijn,University of Texas - Austin
Simon S. Lam,University of Texas - Austin
Simon Peter,University of Texas - Austin
Thomas Dillig,University of Texas - Austin
Vijaya Ramachandran,University of Texas - Austin
Warren A. Hunt Jr.,University of Texas - Austin
William H. Press,University of Texas - Austin
William R. Cook,University of Texas - Austin
Yin Zhang,University of Texas - Austin
Ben Watson,North Carolina State University
Blair D. Sullivan,North Carolina State University
Carla D. Savage,North Carolina State University
