name,affiliation,homepage,scholarid
Geoffrey I. Webb,Monash University,https://research.monash.edu/en/persons/geoff-webb,_1tpf8AAAAAJ
Geoffrey J. Gordon,Carnegie Mellon University,http://www.cs.cmu.edu/~ggordon,0OY5L3UAAAAJ
Geoffrey M. Voelker,Univ. of California - San Diego,http://cseweb.ucsd.edu/~voelker,ZfDtNpUAAAAJ
Geoffrey Mainland,Drexel University,https://www.cs.drexel.edu/~mainland,jjWDm9wAAAAJ
Geoffrey S. Smith,Florida International University,http://www.cis.fiu.edu/~smithg,OCmc_bYAAAAJ
Geoffrey Smith,Florida International University,http://www.cis.fiu.edu/~smithg,OCmc_bYAAAAJ
Geoffrey Smith 0001,Florida International University,http://www.cis.fiu.edu/~smithg,OCmc_bYAAAAJ
Geoffrey Werner Challen,University at Buffalo,https://blue.cse.buffalo.edu/people/gwa,lR34_8YAAAAJ
Georg Carle,TU Munich,https://www.net.in.tum.de/members/carle,l5xqmTIAAAAJ
Georg Fuchsbauer,TU Wien,http://www.di.ens.fr/~fuchsbau,CxHsVWwAAAAJ
Georg Gottlob,University of Oxford,https://www.cs.ox.ac.uk/people/georg.gottlob,i72_SkUAAAAJ
Georg Groh,TU Munich,https://www.professoren.tum.de/en/groh-georg,aTPKRO0AAAAJ
Georg Klinker,TU Munich,https://www.lis.ei.tum.de/en/persons/management/stechele,NOSCHOLARPAGE
Georg Lausen,University of Freiburg,http://dbis.informatik.uni-freiburg.de/team/lausen/georg,wzKbqkcAAAAJ
Georg Martius,University of Tübingen,https://is.mpg.de/person/gmartius,b-JF-UIAAAAJ
Georg Moser,University of Innsbruck,https://tcs-informatik.uibk.ac.at,nT0BZ_AAAAAJ
Georg Schnitger,Goethe University Frankfurt,http://www.thi.informatik.uni-frankfurt.de/team/gschnitger,NOSCHOLARPAGE
Georg Seelig,University of Washington,https://homes.cs.washington.edu/~seelig,Nf4G12YAAAAJ
Georg Stadler,New York University,https://math.nyu.edu/~stadler/,pTbnj1IAAAAJ
Georg Struth,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/georg-struth,lgsk1IoAAAAJ
Georg Weissenbacher,TU Wien,http://www.georg.weissenbacher.science,1KfaH-QAAAAJ
Georg Zetzsche [SWS],Max Planck Society,http://zetzsche.xyz,BHNdXKxbM-8C
George A. Dafoulas,Middlesex University,http://www.cs.mdx.ac.uk/people/george-dafoulas,NOSCHOLARPAGE
George A. Tsihrintzis,University of Piraeus,https://www.unipi.gr/unipi/en/geoatsi.html,QUC1ebEAAAAJ
George A. Vouros,University of Piraeus,https://www.ds.unipi.gr/en/faculty/georgev-en,NOSCHOLARPAGE
George Alex Koulieris,Durham University,https://www.dur.ac.uk/computer.science/staff/profile/?id=17133,NWZ7UJUAAAAJ
George Amvrosiadis,Carnegie Mellon University,http://www.ece.cmu.edu/~gamvrosi,ygiY7C8AAAAJ
George B. Mertzios,Durham University,https://www.dur.ac.uk/computer.science/staff/profile/?id=9703,61cu4UMAAAAJ
George B. Purdy,University of Cincinnati,https://etd.ohiolink.edu/!etd.send_file?accession=ucin1140802889&disposition=inline,NOSCHOLARPAGE
George Bebis,University of Nevada,https://www.cse.unr.edu/~bebis,-uRoVEUAAAAJ
George Berg,University at Albany - SUNY,https://www.albany.edu/ceas/george-berg.php,NOSCHOLARPAGE
George Buchanan 0001,University of Melbourne,https://findanexpert.unimelb.edu.au/display/person793596,HPbkM6YAAAAJ
George C. Necula,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~necula,_fiHvDAAAAAJ
George C. Polyzos,AUEB,http://niovi.aueb.gr/~gcp,y-Mxxa0AAAAJ
George Candea,EPFL,http://dslab.epfl.ch/people/candea,Yd-SGH8AAAAJ
George Christodoulou 0001,University of Liverpool,https://cgi.csc.liv.ac.uk/~gchristo,QRIaADsAAAAJ
George D. C. Cavalcanti,UFPE,http://www.cin.ufpe.br/~gdcc,0dSAy8IAAAAJ
George D. Magoulas,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/gmagoulas,AJ4xClEAAAAJ
George D. Stamoulis,AUEB,http://nes.aueb.gr/users/gs.html,5uRFCLsAAAAJ
George Darmiton da Cunha Cavalcanti,UFPE,http://www.cin.ufpe.br/~gdcc,0dSAy8IAAAAJ
