name,affiliation,homepage,scholarid
Pirkko H. Harvey,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/harvey-pirkko,NOSCHOLARPAGE
Piyush Kumar,Florida State University,http://compgeom.com/~piyush,aqdN-aUAAAAJ
Piyush P Kurur,IIT Kanpur,http://www.cse.iitk.ac.in/users/ppk,NOSCHOLARPAGE
Piyush Rai,IIT Kanpur,http://cse.iitk.ac.in/users/piyush,D50grEgAAAAJ
Piyush Srivastava,Tata Inst. of Fundamental Research,http://www.tifr.res.in/~piyush.srivastava,FiMu254AAAAJ
Plamen P. Angelov,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/plamen-angelov,CCW8PwkAAAAJ
Pnina Fichman,Indiana University,https://ella.sice.indiana.edu/~fichman,KpiNE84AAAAJ
Po Yang 0001,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/po-yang,RdK3cwgAAAAJ
Po-Ling Loh,University of Wisconsin - Madison,http://homepages.cae.wisc.edu/~loh,NOSCHOLARPAGE
Pokhar Mal Jat,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,NOSCHOLARPAGE
Polepalli Krishna Reddy,IIIT Hyderabad,http://faculty.iiit.ac.in/~pkreddy,XIgl8kUAAAAJ
Polina Golland,Massachusetts Institute of Technology,https://www.csail.mit.edu/person/polina-golland,eeyDrJ8AAAAJ
Polyvios Pratikakis,University of Crete,https://www.csd.uoc.gr/~polyvios,ACXEa94AAAAJ
Pong C. Yuen,Hong Kong Baptist University,http://www.comp.hkbu.edu.hk/~pcyuen,CwhIcHkAAAAJ
Pong Chi Yuen,Hong Kong Baptist University,http://www.comp.hkbu.edu.hk/~pcyuen,CwhIcHkAAAAJ
Pong P. Chu,Cleveland State University,https://academic.csuohio.edu/chu_p,NOSCHOLARPAGE
Ponnurangam Kumaraguru,IIIT Delhi,https://www.iiitd.ac.in/pk,MfzQyP8AAAAJ
Ponnuswamy Sadayappan,University of Utah,http://www.cs.utah.edu/~saday,JN4tlsMAAAAJ
Pontus Johnson,KTH Royal Institute of Technology,https://www.kth.se/profile/pontusj,Jxpmb_wAAAAJ
Poonam Goyal,BITS Pilani,http://www.bits-pilani.ac.in/pilani/poonam/profile,YHN0TYMAAAAJ
Poorvi L. Vora,George Washington University,https://www.seas.gwu.edu/~poorvi,NOSCHOLARPAGE
