name,date
John C. S. Lui,1509035547.23
Dong Soo Han,1509032493.17
Thierry Massart,1509019570.00
Christopher W. Geib,1508917211.72
Julian C. Bradfield,1509117579.78
Shay B. Cohen,1508897415.59
Judy Kay,1509034060.99
James P. Clements,1508954526.48
Taku Komura,1508858640.90
W. Randolph Franklin,1508954652.95
Cristina Nita-Rotaru,1508826918.47
Eerke A. Boiten,1509031582.89
Boyana Norris,1509000295.78
Ken Mercer,1509121824.59
Xinggong Zhang,1508880108.23
Tamer Elsayed,1509025459.26
Roberto Grossi,1509026624.44
Jessica Lin 0001,1508954634.93
Jing-Ling Xue,1509122206.61
Maximilian Jösch,1509026588.93
Alexandros Kapravelos,1509003871.88
Luis Velasco,1509017053.56
Florian Matthes,1509121732.00
Donggang Cao,1509023843.67
Parag Chaudhuri,1509035671.79
Soontae Kim,1509027707.90
Dawn MacIsaac,1509019416.36
Laurent Kneip,1509020890.55
Yuan Xie 0001,1508831497.80
Avelino J. Gonzalez,1508954386.00
David W. Chadwick,1509031365.61
Letizia Tanca,1509029917.59
Si-Qing Zheng,1508954692.99
Peter Schachte,1509031530.13
Puneet Goyal,1509035505.38
Jidong Zhai,1509031685.67
Ramesh Sankaranarayana,1509023683.81
Jedidiah R. Crandall,1508794275.57
Tanya Y. Berger-Wolf,1508967297.40
Achille Pattavina,1509026750.96
Damien Stehlé,1509020217.40
Paul D. Gader,1509001585.93
Ioannis Kakadiaris,1508954606.34
Giacomo Boracchi,1509023600.84
Ergun Akleman,1508941448.39
Sally Fincher,1509034022.47
David S. Wishart,1508879841.25
Emine Yilmaz,1509033049.98
Aquinas Hobor,1509077302.73
Changbin Yu,1509025478.46
John Shepherd,1509116973.98
Constantinos Constantinides,1509122066.73
Yubo Tao,1509030608.64
Xenofon D. Koutsoukos,1508954441.51
Christopher Bystroff,1508881063.32
Alessandro Abate,1509027997.14
Jade Alglave,1508875412.21
Yi-Ying Zhang,1509001972.82
Mark Handley,1509032562.64
Michael Ferdman,1508823372.36
Mikhailo Dokuchaev,1509122188.86
Daniel A. Jiménez,1508924484.20
Ming C. Lin,1508963446.79
Preethi Jyothi,1509033953.86
Binay K. Bhattacharya,1509027355.19
Mircea Nicolescu,1508936089.79
Chiu Chiang Tan,1509121691.12
Philip C. Treleaven,1509033819.19
Yubin Xia,1509019906.75
Hamid R. Rabiee,1509022054.10
Tarek Elfouly,1508880537.22
Mark van den Brand,1509021960.39
Qinfeng Shi,1509026721.23
Haopeng Chen,1509028024.26
Mahmut T. Kandemir,1508801658.31
Hu Fu,1508896225.60
M. Birna van Riemsdijk,1509025216.67
Peter T. Kirstein,1509023715.42
Joseph Mihaljevic,1508942363.77
Amit Awekar,1509035480.91
Chaoli Wang,1509004341.66
Chen Chao,1508932709.24
Xiangyun Zhou,1509034075.51
Stephanie Forrest,1508876342.10
Don S. Batory,1508684073.03
Xinming Zhang,1508921293.31
A. W. Roscoe,1509033573.31
Julie A. Shah,1508716621.25
Michael Ben-Or,1509017092.14
Gheorghe Tecuci,1509005075.72
Christo Wilson,1508804106.14
Ivan Martinovic,1509029042.57
Stefan Wuchty,1508954497.52
Mark Reid,1509033082.57
Wenjin Zhou,1508954590.19
Christoph Csallner,1508925963.56
Andrew S. Grimshaw,1509004965.76
Robert Kowalski,1508901443.40
Seah Hock Soon,1509032688.57
Graham Knight,1509030733.05
Maria Kihl,1509026324.97
Xiao Qin,1509121831.03
Marin Litoiu,1509016676.89
In-So Kweon,1508876458.10
Paulo Rogério Pereira,1509035466.97
Hannes Mühleisen,1509035697.18
Lena Mashayekhy,1508954519.42
Kobus Barnard,1508937586.11
Malgorzata Biernacka,1509031957.17
