name,affiliation,homepage,scholarid
Weihong Deng,BUPT,http://www.whdeng.cn,1rhBlUEAAAAJ
Weihong Ren,Harbin Institute of Technology,http://faculty.hitsz.edu.cn/renweihong,yu56w28AAAAJ
Weihua Zhang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2178###,6Ikypp0AAAAJ
Weijia Jia 0001,Shanghai Jiao Tong University,http://www.cs.sjtu.edu.cn/en/PeopleDetail.aspx?id=293,2_mku2wAAAAJ
Weijie J. Su,University of Pennsylvania,http://www-stat.wharton.upenn.edu/~suw,Uhf4nBkAAAAJ
Weijie Zhao 0001,Rochester Institute of Technology,https://www.cs.rit.edu/~wjz,c-gzOhwAAAAJ
Weijun Chen,Tsinghua University,https://www.facebook.com/public/WeiJun-Chen?page=5,7MErH44AAAAJ
Weike Pan,Shenzhen University,https://sites.google.com/site/weikep,pC5Q26MAAAAJ
Weikuan Yu,Florida State University,http://www.cs.fsu.edu/~yuw,G5I0JlwAAAAJ
Weile Jia,Chinese Academy of Sciences,https://people.ucas.ac.cn/~jiaweile,Kzi4rW0AAAAJ
Weili Han,Fudan University,http://crypto.fudan.edu.cn/people/weili,n5g_EI0AAAAJ
Weili Wu 0001,University of Texas at Dallas,http://www.utdallas.edu/~weiliwu,Flmif3gAAAAJ
Weiming Feng 0001,University of Hong Kong,https://www.cs.hku.hk/index.php/people/academic-staff/wfeng,uh1-AvwAAAAJ
Weiming Hu,Chinese Academy of Sciences,http://teacher.ucas.ac.cn/~huweiming,Wl4tl4QAAAAJ
Weiming Lu 0001,Zhejiang University,http://mypage.zju.edu.cn/lwm,NOSCHOLARPAGE
Weiming Xiang 0001,Augusta University,https://xiangweiming.github.io/,Vm_7JP8AAAAJ
Weina Niu,UESTC,https://www.en.scse.uestc.edu.cn/info/1085/2065.htm,NOSCHOLARPAGE
Weina Wang 0001,Carnegie Mellon University,https://www.cs.cmu.edu/~weinaw,mQnBkmoAAAAJ
Weinan Zhang 0001,Shanghai Jiao Tong University,http://wnzhang.net,Qzss0GEAAAAJ
Weinan Zhang 0003,Harbin Institute of Technology,http://ir.hit.edu.cn/~wnzhang,DBLdEf4AAAAJ
Weining Zhang,University of Texas at San Antonio,http://www.cs.utsa.edu/~wzhang,qmc5whEAAAAJ
Weiping Huang,Peking University,http://www.icst.pku.edu.cn/index.php?s=/Home/Team/lists/szm/H.html,NOSCHOLARPAGE
Weiping Tu,Wuhan University,https://cs.whu.edu.cn/info/1019/2879.htm,fdiX7GIAAAAJ
Weiping Wang 0003,Central South University,https://faculty.csu.edu.cn/wangweiping/zh_CN/index.htm,zszSW_IAAAAJ
Weiqiang Wen,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/weiqiang.wen,NOSCHOLARPAGE
Weiran Huang 0001,Shanghai Jiao Tong University,https://www.weiranhuang.com,AjJ2rf8AAAAJ
Weiran Shen,Renmin University of China,https://www.weiran-shen.info,-lXgERkAAAAJ
Weiran Wang,University of Iowa,https://cs.uiowa.edu/people/weiran-wang,O9djN1AAAAAJ
Weiran Xu,BUPT,https://pris-nlp.github.io/en/author/weiran-xu/,iZZfm-8AAAAJ
Weiren Yu,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/weiren_yu,KEC9U80AAAAJ
Weisheng Dong,Xidian University,http://see.xidian.edu.cn/faculty/wsdong,g58LsoAAAAJ
Weisheng Si,Western Sydney University,https://www.westernsydney.edu.au/staff_profiles/WSU/doctor_weisheng_si,JWWHbcEAAAAJ
Weishi Shi,University of North Texas,https://computerscience.engineering.unt.edu/people/faculty/weishi-shi,nAPZIPsAAAAJd
Weishi Zheng 0001,Sun Yat-sen University,http://www.isee-ai.cn/~zhwshi,AwqDDGoAAAAJ
Weisi Lin,Nanyang Technological University,https://www3.ntu.edu.sg/home/wslin,D_S41X4AAAAJ
Weisong Shi,University of Delaware,http://weisongshi.org,4rPcoCEAAAAJ
Weitao Xu,City University of Hong Kong,https://www.weitaoxu.com,-RbADtgAAAAJ
Weitong Huang,Tsinghua University,http://www.cs.tsinghua.edu.cn/publish/csen/4623/2010/20101223231615208546402/20101223231615208546402_.html,NOSCHOLARPAGE
Weiwei Liu 0003,Wuhan University,https://sites.google.com/site/weiweiliuhomepage/,l6RB1WsAAAAJ
Weiwei Sun 0008,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1923,NOSCHOLARPAGE
Weiwei Xu,Zhejiang University,http://www.cad.zju.edu.cn/home/weiweixu,qRXK__gAAAAJ
Weiwen Jiang,George Mason University,https://www.gmu.edu/profiles/wjiang8,62oDIG4AAAAJ
Weixiong Rao,Tongji University,https://sse.tongji.edu.cn/wrao,7ubWTOMAAAAJ
Weiyan Shi,Northeastern University,https://wyshi.github.io/,xj666rUAAAAJ
Weiyi Ian Shang,University of Waterloo,https://ece.uwaterloo.ca/~wshang/,ZnERyl4AAAAJ
