name,date
Anthony V. Robins,1482289696.11
Rajeev Balasubramonian,1482289696.51
Xinbo Yang,1482289699.77
Emad Shihab,1482289700.42
Dan S. Wallach,1482289703.87
Paul Barford,1482289704.07
Haibo Zhang 0001,1482289704.70
Byung Guk Kim,1482289704.94
Burkhard C. Wünsche,1482289706.54
Xia Zhou,1482289706.60
Matthew K. Farrens,1482289707.44
Mahmut T. Kandemir,1482289708.89
Amitabh Varshney,1482289709.08
Murali Sitaraman,1482289709.34
Zachary O. Toups,1482289710.81
Jack Tumblin,1482289711.12
Sathish Govindarajan,1482289714.11
Yu Cao,1482289714.48
Lane A. Hemachandra,1482289714.76
Patricia Bouyer-Decitre,1482289714.98
Igor Goryanin,1482289715.47
Rajesh P. N. Rao,1482289716.03
Behrooz Shirazi,1482289717.08
Lizhong Chen,1482289717.29
Vambola Leping,1482289719.96
Ramalingam Sridhar,1482289720.11
Marti A. Hearst,1482289720.39
Richard Cleve,1482289720.71
Tommy Kaplan,1482289721.54
Gary L. Miller,1482289721.75
Daniel Kifer,1482289722.02
Mitchell P. Marcus,1482289722.37
Hye-Young Helen Paik,1482289723.23
Hing Leung,1482289723.53
Alfred V. Aho,1482289723.77
Alan Mislove,1482289723.83
Moshe Y. Vardi,1482289724.01
Simon J. Thompson,1482289727.93
Tony McGregor,1482289729.93
Amol Deshpande,1482289730.09
Leonard Pitt,1482289731.29
Robert Pless,1482289731.58
Shivakant Mishra,1482289731.95
Suzanne Mello-Stark,1482289735.35
Lewis D. Griffin,1482289735.71
Mitsunori Ogihara,1482289736.15
Srinivas Katkoori,1482289739.85
John A. Miller,1482289740.04
Maurice Rojas,1482289740.25
Thomas Lengauer,1482289742.88
Bobby Bhattacharjee,1482289742.96
Greg Mori,1482289743.28
Joel Voldman,1482289743.47
Peter F. Linington,1482289745.85
Michael Bader,1482289747.19
Caitlin Kelleher,1482289747.30
Arunava Banerjee,1482289747.75
Michel Abdalla,1482289748.08
Amir Nayyeri,1482289748.53
Lu Wang,1482289748.64
Kasper Hornbæk,1482289750.16
Steven M. Bellovin,1482289750.46
Hagit Attiya,1482289751.04
Panagiotis Stamatopoulos,1482289751.66
Henning Schulzrinne,1482289751.80
Usman R. Alim,1482289752.71
Eve Hoggan,1482289753.84
Narayanan Vijaykrishnan,1482289754.05
Aaron Clauset,1482289755.28
