name,affiliation,homepage,scholarid,orcid
Carlos Camarao de Figueiredo,UFMG,http://homepages.dcc.ufmg.br/~camarao,2LRi77IAAAAJ,0000-0000-0000-0000
Carlos Camarão 0001,UFMG,http://homepages.dcc.ufmg.br/~camarao,2LRi77IAAAAJ,0000-0000-0000-0000
Carlos Cid,Simula UiB,https://www.simula.no/people/carlos,yfL0oMkAAAAJ,0000-0001-5761-8694
Carlos Dafonte,University of A Coruña,https://pdi.udc.es/en/File/Pdi/9K9AF,plU2iAkAAAAJ,0000-0000-0000-0000
Carlos Dafonte Vázquez,University of A Coruña,https://pdi.udc.es/en/File/Pdi/9K9AF,plU2iAkAAAAJ,0000-0000-0000-0000
Carlos Duarte,Universidade de Lisboa,https://ciencias.ulisboa.pt/perfil/caduarte,I7hcyJgAAAAJ,0000-0003-1370-5379
Carlos E. Ferreira,USP,http://www.ime.usp.br/~cef,cp2Bft4AAAAJ,0000-0000-0000-0000
Carlos Eduardo Ferreira,USP,http://www.ime.usp.br/~cef,cp2Bft4AAAAJ,0000-0003-4804-5788
Carlos Eduardo Pedreira,UFRJ,http://www.cos.ufrj.br/~pedreira,Dg3fjRgAAAAJ,0000-0000-0000-0000
Carlos Eduardo R. Lopes,UFU,http://www.facom.ufu.br/~crlopes,NOSCHOLARPAGE,0000-0000-0000-0000
Carlos Fernandez-Lozano,University of A Coruña,https://cafernandezlo.github.io/es_github_cafernandezlo,gE-7NE4AAAAJ,0000-0003-0413-5677
Carlos Gustavo López Pombo,University of Buenos Aires,https://www.dc.uba.ar/~clpombo,DGmfF8QAAAAJ,0000-0000-0000-0000
Carlos Gómez-Rodríguez,University of A Coruña,http://www.grupolys.org/~cgomezr,BeNhySQAAAAJ,0000-0003-0752-8812
Carlos H. Morimoto,USP,http://www.ime.usp.br/~hitoshi,ylIa7EoAAAAJ,0000-0003-4679-2827
Carlos Hitoshi Morimoto,USP,http://www.ime.usp.br/~hitoshi,ylIa7EoAAAAJ,0000-0003-4679-2827
Carlos J. P. Lucena,PUC-RIO,http://www.inf.puc-rio.br/blog/professor/@carlos-jose-pereira-de-lucena,BCW5XGIAAAAJ,0000-0000-0000-0000
Carlos Jensen,Univ. of Maryland - Baltimore County,https://www.linkedin.com/in/carlos-jensen-356145,v7fzzssAAAAJ,0000-0000-0000-0000
Carlos José Pereira de Lucena,PUC-RIO,http://www.inf.puc-rio.br/blog/professor/@carlos-jose-pereira-de-lucena,BCW5XGIAAAAJ,0000-0000-0000-0000
Carlos Lucena,PUC-RIO,http://www.inf.puc-rio.br/blog/professor/@carlos-jose-pereira-de-lucena,BCW5XGIAAAAJ,0000-0000-0000-0000
Carlos López Pombo,University of Buenos Aires,https://www.dc.uba.ar/~clpombo,DGmfF8QAAAAJ,0000-0000-0000-0000
Carlos M. Duarte 0001,Universidade de Lisboa,https://ciencias.ulisboa.pt/perfil/caduarte,I7hcyJgAAAAJ,0000-0000-0000-0000
Carlos M. P. Matos,Royal Holloway Univ. of London,https://pure.royalholloway.ac.uk/portal/en/persons/carlos-matos(1fce6588-ec3e-4af6-b6af-514d26a8a679).html,H4vs7wkAAAAJ,0000-0000-0000-0000
Carlos Maltzahn,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~carlosm,ntU7-hwAAAAJ,0000-0001-8305-0748
Carlos Manuel Pinto de Matos,Royal Holloway Univ. of London,https://pure.royalholloway.ac.uk/portal/en/persons/carlos-matos(1fce6588-ec3e-4af6-b6af-514d26a8a679).html,H4vs7wkAAAAJ,0000-0000-0000-0000
Carlos Martinho,Universidade de Lisboa,https://pt-pt.facebook.com/public/Carlos-Martinho/school/fac.ciencias.ul,fSILbggAAAAJ,0000-0000-0000-0000
Carlos Maziero,UFPR,http://wiki.inf.ufpr.br/maziero/doku.php,uwOXXv93HFcC,0000-0000-0000-0000
Carlos Morimoto,USP,http://www.ime.usp.br/~hitoshi,ylIa7EoAAAAJ,0000-0003-4679-2827
Carlos Ordonez 0001,University of Houston,http://www2.cs.uh.edu/~ordonez,W9YkIcoAAAAJ,0009-0005-1135-9726
Carlos Ortiz Marrero,Colorado State University,https://cmortiz.github.io,dQNjXX8AAAAJ,0000-0000-0000-0000
Carlos R. Lopes,UFU,http://www.facom.ufu.br/~crlopes,NOSCHOLARPAGE,0000-0000-0000-0000
Carlos R. Osuna,Rochester Inst. of Technology,https://www.rit.edu/gccis/carlos-rivero,oLEES1QAAAAJ,0000-0000-0000-0000
Carlos R. Rivero,Rochester Inst. of Technology,https://www.rit.edu/gccis/carlos-rivero,oLEES1QAAAAJ,0000-0002-5770-950X
Carlos Reaño,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=c.reano,4XgrRlMAAAAJ,0000-0001-7871-9152
Carlos Ribeiro,Universidade de Lisboa,https://www.ulisboa.pt/home-page/universidade/organizacao/orgaos-universitarios/orgaos-de-governo/reitor/equipa-reitoral,PHx3a5oAAAAJ,0000-0000-0000-0000
Carlos Roberto Lopes,UFU,http://www.facom.ufu.br/~crlopes,NOSCHOLARPAGE,0000-0000-0000-0000
Carlos Roque Martinho,Universidade de Lisboa,https://pt-pt.facebook.com/public/Carlos-Martinho/school/fac.ciencias.ul,fSILbggAAAAJ,0000-0000-0000-0000
Carlos Teixeira,Universidade de Lisboa,https://ciencias.ulisboa.pt/perfil/cjteixeira,gnbk7PgAAAAJ,0000-0000-0000-0000
Carlos Toxtli,Clemson University,https://www.carlostoxtli.com,p-kY8ZEAAAAJ,0000-0002-9430-2661
Carlos Varela,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~cvarela,HrYB6B8AAAAJ,0000-0003-4708-3109
Carlos Vázquez 0001,ETS Montreal,https://www.etsmtl.ca/Professeurs/cvazquez,66PEu_YAAAAJ,0000-0000-0000-0000
Carlos de Castro Goulart,Universidade Federal de Viçosa,http://www.dpi.ufv.br/~goulart,Rp2pL9oAAAAJ,0000-0000-0000-0000
Carlos Álvarez 0001,Polytechnic Univ. of Catalonia,https://www.ac.upc.edu/en/content/calvarez,7c0avmcAAAAJ,0000-0003-0536-5183
Carlos Álvarez-Martínez,Polytechnic Univ. of Catalonia,https://www.ac.upc.edu/en/content/calvarez,7c0avmcAAAAJ,0000-0000-0000-0000
Carlotta Domeniconi,George Mason University,https://cs.gmu.edu/~carlotta,aKkIMogAAAAJ,0000-0003-2140-9596
Carlton J. Leuschen,University of Kansas,http://www.eecs.ku.edu/people/faculty/leuschen,NOSCHOLARPAGE,0000-0000-0000-0000
Carmel Domshlak,Technion,https://ie.technion.ac.il/~dcarmel,Wj7GFosAAAAJ,0009-0008-0943-0329
Carmela Troncoso [SP],Max Planck Society,http://carmelatroncoso.com,sMkt3SgAAAAJ,0000-0000-0000-0000
Carmem S. Hara,UFPR,https://www.inf.ufpr.br/carmem,NrgcBX8AAAAJ,0000-0002-0674-9229
Carmem Satie Hara,UFPR,https://www.inf.ufpr.br/carmem,NrgcBX8AAAAJ,0000-0000-0000-0000
Carmine Gravino,University of Salerno,http://www.unisa.it/docenti/carminegravino/english/index,fGpVbKwAAAAJ,0000-0002-4394-9035
Carmine Ventre,King's College London,https://www.kcl.ac.uk/people/carmine-ventre,kx8cKycAAAAJ,0000-0003-1464-1215
Carol J. Fung,Concordia University,https://www.concordia.ca/faculty/carol-fung.html,lIYpkGYAAAAJ,0000-0000-0000-0000
Carol J. Romanowski,Rochester Inst. of Technology,https://www.rit.edu/gccis/carol-romanowski,NOSCHOLARPAGE,0000-0000-0000-0000
Carol O'Sullivan,Trinity College Dublin,https://www.scss.tcd.ie/Carol.OSullivan,VnOvdegAAAAJ,0000-0003-3772-4961
Carola Wenk,Tulane University,http://www.cs.tulane.edu/~carola,JLWWzugAAAAJ,0000-0001-9275-5336
Carole A. Goble,University of Manchester,http://www.manchester.ac.uk/research/Carole.goble,2G4kqPYAAAAJ,0000-0003-1219-2137
Carole Anne Goble,University of Manchester,http://www.manchester.ac.uk/research/Carole.goble,2G4kqPYAAAAJ,0000-0000-0000-0000
Carole J. Twining,University of Manchester,http://personalpages.manchester.ac.uk/staff/carole.j.twining,23t6LBIAAAAJ,0000-0000-0000-0000
Carolin E. Brandt,TU Delft,https://carolin-brandt.de,gYM4MwkAAAAJ,0000-0000-0000-0000
Carolin Wienrich,University of Würzburg,https://www.mcm.uni-wuerzburg.de/piis/people/prof-dr-carolin-wienrich,3O8K2pIAAAAJ,0000-0003-3052-7172
Carolina Cruz-Neira,University of Central Florida,https://www.cs.ucf.edu/person/carolina-cruz-neira,7oDeTpkAAAAJ,0000-0002-8499-8909
Carolina Fuentes,Cardiff University,https://www.cardiff.ac.uk/people/view/1764542-fuentes-carolina,HMu_pZ0AAAAJ,0000-0002-0871-939X
Carolina Nobre,University of Toronto,https://www.cs.toronto.edu/~cnobre,NOSCHOLARPAGE,0000-0002-2892-0509
Carolina Ruiz,Worcester Polytechnic Institute,http://www.cs.wpi.edu/~ruiz,xuOJUqsAAAAJ,0000-0000-0000-0000
Carolina Scarton,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/carolina-scarton,e6YOuiQAAAAJ,0000-0002-0103-4072
Carolina Wählby,Uppsala University,http://user.it.uu.se/~cli05194/index.html,eRR9pK4AAAAJ,0000-0000-0000-0000
