name,affiliation,homepage,scholarid,orcid
Eduardo Tavares,UFPE,https://www.cin.ufpe.br/~eagt,NOSCHOLARPAGE,0000-0000-0000-0000
Eduardo Todt,UFPR,https://www.inf.ufpr.br/todt,Sbr5yW8AAAAJ,0000-0001-6045-1274
Eduardo Torres-Jara,Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/etj.html,NOSCHOLARPAGE,0000-0000-0000-0000
Eduardo Velloso,University of Sydney,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/eduardo-velloso.html,yHHlOiQAAAAJ,0000-0003-4414-2249
Eduardo da Veiga Beltrame,MBZUAI,https://mbzuai.ac.ae/study/faculty/eduardo-beltrame,vUTpSxsAAAAJ,0000-0000-0000-0000
Eduardo del Castillo-Sánchez,EPFL,https://people.epfl.ch/eduardo.sanchez,NOSCHOLARPAGE,0000-0000-0000-0000
Eduardo do Valle Simões,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/simoes,acJCV0AAAAAJ,0000-0000-0000-0000
Edward A. Hirsch,Ariel University,https://edwardahirsch.github.io/edwardahirsch/index.html,p_CnQm0AAAAJ,0000-0000-0000-0000
Edward Anstead,Goldsmiths University of London,https://www.gold.ac.uk/computing/people/anstead-edward,by96CrcAAAAJ,0000-0000-0000-0000
Edward C. Keedwell,University of Exeter,http://emps.exeter.ac.uk/computer-science/staff/eckeedwe,lApWCPUAAAAJ,0000-0000-0000-0000
Edward Chien,Boston University,https://cs-people.bu.edu/edchien,YZ1HFYIAAAAJ,0000-0001-5084-7638
Edward Choi,KAIST,https://mp2893.com,GUlGIPkAAAAJ,0000-0000-0000-0000
Edward David Johns,Imperial College London,https://www.imperial.ac.uk/people/e.johns,dHec-LkAAAAJ,0000-0002-8914-8786
Edward F. Gehringer,North Carolina State University,http://www4.ncsu.edu/~efg,IEHo6YcAAAAJ,0000-0002-5217-2643
Edward F. Melcer,Univ. of California - Santa Cruz,http://edwardmelcer.net,ftmlYFsAAAAJ,0000-0003-1760-5279
Edward Hermann Haeusler,PUC-RIO,http://www-di.inf.puc-rio.br/~hermann,eQP-Ez8AAAAJ,0000-0000-0000-0000
Edward Hermann Häusler,PUC-RIO,http://www-di.inf.puc-rio.br/~hermann,eQP-Ez8AAAAJ,0000-0000-0000-0000
Edward J. Anstead,Goldsmiths University of London,https://www.gold.ac.uk/computing/people/anstead-edward,by96CrcAAAAJ,0000-0000-0000-0000
Edward Jay Wang,Univ. of California - San Diego,https://www.ejaywang.com,W2EHn7gAAAAJ,0000-0003-0030-6870
Edward John Briscoe,MBZUAI,https://mbzuai.ac.ae/study/faculty/ted-briscoe,qNP6lAwAAAAJ,0000-0000-0000-0000
Edward Johns,Imperial College London,https://www.imperial.ac.uk/people/e.johns,dHec-LkAAAAJ,0000-0002-8914-8786
Edward K. Wong,New York University,http://engineering.nyu.edu/people/edward-k-wong,f7laURkAAAAJ,0000-0000-0000-0000
Edward Kim 0006,Drexel University,http://edwardkim.net,1q-Fu6cAAAAJ,0000-0000-0000-0000
Edward Lank,University of Waterloo,https://cs.uwaterloo.ca/~lank,e7P8IwgAAAAJ,0000-0003-2760-2370
Edward Luke,Mississippi State University,http://www.cse.msstate.edu/people/faculty/edward-luke,zWx92q0AAAAJ,0000-0000-0000-0000
Edward Omiecinski,Georgia Institute of Technology,http://www.cc.gatech.edu/~edwardo,NOSCHOLARPAGE,0000-0000-0000-0000
Edward P. Holden,Rochester Inst. of Technology,http://www.ist.rit.edu/~eph,NOSCHOLARPAGE,0000-0000-0000-0000
Edward P. Tighe,De La Salle University,https://www.dlsu.edu.ph/colleges/ccs/faculty-profile/single/?id=32665809537&command=GETPROFILE,_W85mMIAAAAJ,0000-0000-0000-0000
Edward Sciore,Boston College,http://www.cs.bc.edu/~sciore,NOSCHOLARPAGE,0000-0000-0000-0000
Edward Sykes,University of Guelph,https://www.uoguelph.ca/computing/people/edward-sykes,28Fslz0AAAAJ,0000-0001-7339-7481
Edward Tremel,Augusta University,https://edwardtremel.com,7zX-PdgAAAAJ,0000-0002-7105-0123
Edward W. Knightly,Rice University,http://knightly.rice.edu,-0vALDMAAAAJ,0000-0002-8663-0438
Edwin C. Brady,University of St Andrews,https://edwinb.wordpress.com,v1butH8AAAAJ,0000-0002-9734-367X
Edwin D. Simpson,University of Bristol,https://research-information.bris.ac.uk/en/persons/edwin-d-simpson,SJIesOAAAAAJ,0000-0000-0000-0000
Edwin R. Hancock,University of York,https://www-users.cs.york.ac.uk/~erh,EjDU2ncAAAAJ,0000-0003-4496-2028
Edwin Robert Hancock,University of York,https://www-users.cs.york.ac.uk/~erh,EjDU2ncAAAAJ,0000-0000-0000-0000
Edwin Simpson,University of Bristol,https://research-information.bris.ac.uk/en/persons/edwin-d-simpson,SJIesOAAAAAJ,0000-0002-6447-1552
Edy Portmann,University of Fribourg,https://www.unifr.ch/inf/en/prof/people/10699/7dad1,igCBMdQAAAAJ,0000-0001-6448-1139
Ee-Chien Chang,National University of Singapore,https://www.comp.nus.edu.sg/~changec,qZavFBcAAAAJ,0000-0003-4613-0866
Ee-Peng Lim,Singapore Management University,https://sis.smu.edu.sg/faculty/profile/9626,r0wOAikAAAAJ,0000-0003-0065-8665
Eelco Herder,Radboud University,https://www.eelcoherder.com,YHzcc8cAAAAJ,0000-0003-0107-299X
Eelke Folmer,University of Nevada,https://www.unr.edu/cse/people/folmer,xZcSoqcAAAAJ,0000-0002-8937-955X
Eenjun Hwang,Korea University,https://mil.korea.ac.kr,RL8O8rgAAAAJ,0000-0000-0000-0000
Eerke A. Boiten,University of Kent,https://www.cs.kent.ac.uk/~eab2,eUtcV10AAAAJ,0000-0000-0000-0000
Eero Hyry,Tampere University,https://www.tuni.fi/en/eero-hyry,qmT-ubgAAAAJ,0000-0002-0137-7948
Eero Hyvönen,Aalto University,https://seco.cs.aalto.fi/u/eahyvone,FqbJBcsAAAAJ,0000-0003-1695-5840
Eero Vainikko,University of Tartu,http://kodu.ut.ee/~eero,Ym_SSO8AAAAJ,0000-0003-1902-9383
Efrén López-Morales,New Mexico State University,https://efrenlopez.org,b5QDcJIAAAAJ,0000-0000-0000-0000
Efstathios D. Sykas,NTUA,https://www.ece.ntua.gr/en/staff/36,NOSCHOLARPAGE,0000-0000-0000-0000
Efthimios Alepis,University of Piraeus,https://www.unipi.gr/unipi/en/talepis.html,3WyL7tUAAAAJ,0000-0000-0000-0000
Efthymios Alepis,University of Piraeus,https://www.unipi.gr/unipi/en/talepis.html,3WyL7tUAAAAJ,0000-0000-0000-0000
Eftychios Sifakis,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~sifakis,swFWoHwAAAAJ,0000-0001-5608-3085
Egemen Tanin,University of Melbourne,https://people.eng.unimelb.edu.au/etanin,LVKaMIgAAAAJ,0000-0001-5014-1969
Egon Börger,University of Pisa,http://www.di.unipi.it/~boerger,j2lxsK0AAAAJ,0000-0000-0000-0000
Egon L. van den Broek,Utrecht University,https://www.uu.nl/medewerkers/ELvandenBroek,QCLRwy4AAAAJ,0000-0000-0000-0000
Egon Wanke,University of Düsseldorf,https://www.cs.hhu.de/lehrstuehle-und-arbeitsgruppen/algorithmen-und-datenstrukturen-prof-dr-egon-wanke/unser-team.html,w7omrq8AAAAJ,0000-0000-0000-0000
Ehab S. Elmallah,University of Alberta,https://webdocs.cs.ualberta.ca/~ehab,NOSCHOLARPAGE,0000-0000-0000-0000
Ehsan Abbasnejad,Adelaide University,https://ehsanabb.github.io,OdlVfTsAAAAJ,0000-0002-7126-317X
Ehsan Aryafar,Portland State University,http://web.cecs.pdx.edu/~aryafare,zLT0ek0AAAAJ,0000-0000-0000-0000
Ehsan Elhamifar,Northeastern University,http://www.ccs.neu.edu/home/eelhami,cpgUf6wAAAAJ,0000-0001-5517-548X
Ehsan Hoque 0001,University of Rochester,http://web.media.mit.edu/~mehoque,ZJrR0KQAAAAJ,0000-0003-4781-4733
Ehsan Shareghi,Monash University,https://research.monash.edu/en/persons/ehsan-shareghi-nojehdeh,EhnQJFwAAAAJ,0000-0001-9119-8638
Ehud Reiter,University of Aberdeen,https://www.abdn.ac.uk/people/e.reiter,Ns0YuP0AAAAJ,0000-0002-7548-9504
