name,year
Manish Gupta,2012
Manish Parashar,2020
Manuel Blum,2020
Manuel V. Hermenegildo,2022
Manuela Veloso,2016
Marc Auslander,1999
Marc Levoy,2007
Marc Najork,2019
Marc Pollefeys,2022
Marc Snir,1999
Margaret Burnett,2017
Margaret Martonosi,2009
Margo Seltzer,2011
Maria Klawe,1996
Maria L. Gini,2019
Marianne Winslett,2006
Marilyn Claire Wolf,2001
Mario Gerla,2018
Mark A. Horowitz,2003
Mark Braverman,2021
Mark Crovella,2010
Mark D. Hill,2004
Mark Guzdial,2014
Mark S. Ackerman,2013
Mark S. Squillante,2008
Mark Tehranipoor,2021
Mark Wegman,1996
Markus Gross,2012
Marshall C. Yovits,1996
Marta Kwiatkowska,2016
Martha Pollack,2011
Martha Sloan,1994
Marti Hearst,2013
Martin Abadi,2008
Martin Farach-Colton,2021
Martin Grohe,2017
Martin Hellman,2020
Martin Kersten,2016
Martin Odersky,2007
Martin Rinard,2009
Martin Vetterli,2009
Martin Wong,2017
Mary Beth Rosson,2020
Mary Harrold,2003
Mary Jane Irwin,1996
Mary K. Vernon,1996
Mary Lou Soffa,1999
Mary M. Shaw,1996
Mary P. Czerwinski,2015
Masaru Kitsuregawa,2012
Mateo Valero,2002
Mathieu Desbrun,2020
Matthew A. Turk,2020
Matthew B. Dwyer,2019
Matthew Roughan,2018
Matthew T. Mason,2021
Matthias Felleisen,2006
Matthias Jarke,2013
Maurice Herlihy,2005
Maurice V. Wilkes,1994
Maurizio Lenzerini,2009
Meenakshi Balakrishnan,2021
Meir Lehman,1994
Mendel Rosenblum,2008
Meredith Ringel Morris,2020
Micha Sharir,1997
Michael A. Harrison,1996
Michael D. Dahlin,2010
Michael D. Ernst,2014
Michael D. Schroeder,2004
Michael E. Lesk,1996
Michael E. Saks,2016
Michael F. Cohen,2007
Michael Franz,2015
Michael George Luby,2015
Michael Heath,2000
Michael I. Jordan,2010
Michael J. Carey,2000
Michael J. Fischer,1996
Michael J. Flynn,1994
Michael J. Franklin,2005
Michael J. Freedman,2019
Michael J. Zyda,2020
Michael Kass,2017
Michael Kearns,2014
Michael Littman,2018
Michael Mitzenmacher,2014
Michael O. Rabin,2020
Michael R. Garey,1995
Michael Reiter,2008
Michael Rung-Tsong Lyu,2015
Michael Scott,2006
Michael Sipser,2017
Michael Stonebraker,1994
Michael T. Goodrich,2009
Michael W. Blasgen,1994
Michael W. Hicks,2022
Michael Wellman,2005
Michael Wooldridge,2015
Michel Beaudouin-Lafon,2022
Michel Dubois,2005
Michel X. Goemans,2008
Mihai Pop,2019
Mihalis Yannakakis,1998
Mihir Bellare,2013
Mikhail Atallah,2006
Mikkel Thorup,2005
Milind Tambe,2013
Ming C. Lin,2011
Ming Li,2006
Ming-Hsuan Yang,2021
Ming-Syan Chen,2006
Minos Garofalakis,2018
Mitchell Wand,2007
Mohammad T. Hajiaghayi,2018
Mohammed Zaki,2021
Moinuddin Qureshi,2022
Mona Singh,2019
Moni Naor,2020
Monica Lam,2007
Monika Henzinger,2016
Monroe Newborn,1994
Mor Harchol-Balter,2017
Moses Charikar,2020
Moshe Tennenholtz,2019
Moshe Y. Vardi,2000
Mostafa Ammar,2003
Moti Yung,2013
Moustafa A. Youssef,2019
Mubarak Ali Shah,2021
Munindar P. Singh,2021
Myron Ginsberg,1995
N. Asokan,2018
Nachiappan Nagappan,2020
Naehyuck Chang,2015
Nam Sung Kim,2020
Nancy Leveson,1995
Nancy Lynch,1997
Nancy M. Amato,2015
Narendra Ahuja,1996
Narsingh Deo,1996
Neil Immerman,2002
Neil Jones,1998
Nell B. Dale,2009
Nelson Max,2011
Nicholas Duffield,2020
Nicholas Higham,2020
Nicholas Pippenger,1997
Nick Feamster,2016
Nick McKeown,2006
Nick Roussopoulos,2001
Nikil D. Dutt,2014
Niklaus E. Wirth,1994
Ninghui Li,2021
Nir N. Shavit,2013
Niraj Jha,2003
Nisheeth Vishnoi,2019
Nitesh Chawla,2022
Noga Alon,2016
Norihisa Suzuki,1995
Norman Jouppi,2006
Noshir Contractor,2019
Nuria Oliver,2017
Olga Sorkine-Hornung,2020
Olga Troyanskaya,2020
Omer Reingold,2014
Onur Mutlu,2017
Ophir Frieder,2005
Orna Grumberg,2015
Oscar Ibarra,1995
Ouri Wolfson,2001
Oyekunle Olukotun,2006
Ozalp Babaoglu,2002
Pablo Rodriguez,2015
Padhraic Smyth,2013
Pamela Samuelson,1999
Pamela Zave,2001
Panganamala Kumar,2013
Pankaj Agarwal,2002
Paola Inverardi,2021
Paolo Zanella,1997
Parthasarathy Ranganathan,2014
Pat Hanrahan,2008
Patricia G. Selinger,2009
Patrick Cousot,2020
Patrick McDaniel,2015
Patrick Suppes,1994
Patrick Valduriez,2012
Paul Barford,2016
Paul Barham,2018
Paul Beame,2019
Paul Dourish,2015
Paul G. Lowney,2008
Paul Hudak,2003
Paul Mockapetris,2004
Paul R. McJones,1994
Paul Resnick,2020
Paul Schneck,1997
Paul Syverson,2014
Paul Van Oorschot,2016
Paul W. Abrahams,1995
Paul Young,1995
Paulo Esteves-Verissimo,2009
Pavel Pevzner,2010
Per O. Stenstrom,2008
Per-Ake Larson,2004
Perry Cook,2008
Peter A. Freeman,2000
Peter B. Key,2011
Peter Boncz,2022
Peter Buneman,2000
Peter Chen,2010
Peter Elias,1994
Peter G. Neumann,1994
Peter Haas,2013
Peter Hart,2003
Peter J. Denning,1994
Peter L. Bartlett,2018
Peter Lee,2004
Peter Magnusson,2011
Peter Norvig,2006
Peter P. Chen,1998
Peter Schroeder,2015
Peter Stone,2020
Peter W. Shor,2019
Peter Wegner,1995
Peter Widmayer,1997
Philip A. Bernstein,2001
Philip Heidelberger,1996
Philip M. Lewis,1999
Philip N. Klein,2010
Philip R. Cohen,2019
Philip S. Yu,1997
Philip Wadler,2007
Phillip B. Gibbons,2006
Phokion Kolaitis,2005
Pierangela Samarati,2021
Pierre Baldi,2012
Piotr Indyk,2015
Prabhakar Raghavan,2001
Prakash Panangaden,2020
Prashant J. Shenoy,2019
Premkumar T. Devanbu,2018
Prithviraj Banerjee,2000
Qiang Yang,2017
R. L. Ashenhurst,1995
RJ Miller,2009
Rachid Guerraoui,2012
Rada Mihalcea,2019
Radhika Nagpal,2020
Radia Perlman,2016
Radu Marculescu,2022
Rafael Pass,2022
Rafail Ostrovsky,2021
Raghu Ramakrishnan,2001
Raj Jain,1996
Raj Reddy,2012
Rajeev Alur,2007
Rajeev Motwani,2007
Rajeev Ramnarain Rastogi,2012
Rajesh Gupta,2016
Rajiv Gupta,2009
Rakesh Agrawal,2003
Ralf Steinmetz,2001
Ramakrishnan Srikant,2014
Ramalingam Chellappa,2013
Ramanathan Guha,2015
Ramesh C. Jain,2003
Ramesh Govindan,2011
Ramesh Kumar Sitaraman,2019
Ramin Zabih,2012
Ran Canetti,2020
Randal E. Bryant,2000
Randy H. Katz,1996
Randy Pausch,2007
Ranjit Jhala,2021
Ranveer Chandra,2022
Rastislav Bodik,2018
Ravi Kannan,2016
Ravi Kumar,2020
Ravi Ramamoorthi,2017
Ravi Sethi,1996
Ravinderpal S. Sandhu,2001
Ravishankar Iyer,2001
Ray Kurzweil,1994
Raymond A. Lorie,2000
Raymond Miller,1997
Raymond Mooney,2010
Raymond Reiter,1997
Reinhard Wilhelm,2000
Remzi Arpaci-Dusseau,2020
Rene Vidal,2022
Ricardo A. Baeza-Yates,2009
Ricardo Bianchini,2016
Richard A. Kemmerer,1997
Richard B. Kieburtz,2001
Richard D. Schlichting,2001
Richard Demillo,2003
Richard E. Ladner,1995
Richard E. Nance,1996
Richard E. Stearns,1994
Richard F. Lyon,2010
Richard G. Canning,1994
Richard Gabriel,1998
Richard H. Austing,1994
Richard Hull,2007
Richard J. Cole,1998
Richard J. Fateman,1999
Richard Karp,1994
Richard Lipton,1997
Richard M. Fujimoto,2017
Richard N. Taylor,1998
Richard P. Brent,1995
Richard R. Burton,1994
Richard R. Muntz,1996
Richard Schantz,2004
Richard Snodgrass,1999
Richard Szeliski,2008
Richard W. Hamming,1994
Rick Cattell,2012
Rick Stevens,2020
Rina Dechter,2013
Rob A. Rutenbar,2008
Rob Cook,1999
Robbert Van Renesse,2009
Robert A. Kowalski,2001
Robert Aiken,2001
Robert B. Ross,2021
