A. C. W. Finkelstein,Anthony Finkelstein
Bruce MacDowell Maggs,Bruce M. Maggs
Bruno A. N. Travençolo,Bruno Augusto Nassif Travençolo
Bruno Emanuel Martins,Bruno Martins 0001
Bruno F. M. Ribeiro,Bruno Ribeiro 0001
Bruno F. Ribeiro,Bruno Ribeiro 0001
Bruno Magalhães Nogueira,Bruno M. Nogueira
Bryan Kian Hsiang Low,Kian Hsiang Low
Burkhard C. Wünsche,Burkhard Wünsche
Burkhard Claus Wünsche,Burkhard Wünsche
Burkhard Wuensche,Burkhard Wünsche
Byung-Ro Moon,Byung Ro Moon
Béla Gipp,Bela Gipp
C. Carvalho de Souza,Cid C. de Souza
C. Chandra Sekhar,Chellu Chandra Sekhar
C. David Page Jr.,David Page
C. David Page,David Page
C. Pandurangan,C. Pandu Rangan
C. S. Raghavendra,Cauligi S. Raghavendra
C. Seshadhri,Seshadhri Comandur
Caetano Traina Junior,Caetano Traina Jr.
Caetano Traina,Caetano Traina Jr.
Caitlin L. Kelleher,Caitlin Kelleher
Calvin Newport,Calvin C. Newport
Camillo Jose Taylor,Camillo J. Taylor
Can C. Özturan,Can Özturan
Candy L. Sidner,Candace L. Sidner
Cara K. MacNish,Cara MacNish
Carey Williamson,Carey L. Williamson
Carl A. Gutwin,Carl Gutwin
Carl Hauser,Carl H. Hauser
Carl Leuschen,Carlton J. Leuschen
Carla M. D. S. Freitas,Carla Maria Dal Sasso Freitas
Carla T. L. L. Silva,Carla Schuenemann
Carla Taciana Lima Lourenco Silva Schuenemann,Carla Schuenemann
Carlisle Adams,Carlisle M. Adams
Carlisle George,Carlisle E. George
Carlo Alberto Furia,Carlo A. Furia
Carlos A. J. Martinhon,Carlos Alberto de Jesus Martinhon
Carlos E. Ferreira,Carlos Eduardo Ferreira
Carlos Eduardo R. Lopes,Carlos Roberto Lopes
Carlos Gustavo López Pombo,Carlos López Pombo
Carlos H. Morimoto,Carlos Hitoshi Morimoto
Carlos Lucena,Carlos José Pereira de Lucena
Carlos M. Duarte,Carlos Duarte
Carlos Morimoto,Carlos Hitoshi Morimoto
Carlos R. Lopes,Carlos Roberto Lopes
Carlos R. Osuna,Carlos R. Rivero
Carlos Roque Martinho,Carlos Martinho
Carlos Scheidegger,Carlos Eduardo Scheidegger
Carole Anne Goble,Carole A. Goble
Caroline Christina Friedel,Caroline C. Friedel
Carroll C. Morgan,Carroll Morgan
Carson K. Leung,Carson Kai-Sang Leung
Cartic R. Ramakrishnan,C. R. Ramakrishnan
Cas Cremers,Cas J. F. Cremers
Casey Redd Kennington,Casey Kennington
Catherine Olschanowsky,Catherine Mills Olschanowsky
Catherine S. Holloway,Catherine Holloway
Catholijn Jonker,Catholijn M. Jonker
Cecília Baranauskas,Maria Cecília Calani Baranauskas
Cecília Mary Fischer Rubira,Cecília M. F. Rubira
Celina Miraglia Herrera de Figueiredo,Celina M. H. de Figueiredo
Cenk S. Sahinalp,Süleyman Cenk Sahinalp
Chad Jenkins,Odest Chadwicke Jenkins
Chagit Attiya,Hagit Attiya
Chai Quek,Hiok Chai Quek
Chalavadi Krishna Mohan,C. Krishna Mohan
Cham Tat Jen,Tat-Jen Cham
Chandrajit Bajaj,Chandrajit L. Bajaj
Chandrasekaran Pandu Rangan,C. Pandu Rangan
Chang-shui Zhang,Changshui Zhang
Changbin Brad Yu,Changbin Yu
Charibeth Cheng,Charibeth Ko Cheng
Charibeth K. Cheng,Charibeth Ko Cheng
Charles C. Weems Jr.,Charles C. Weems
Charles F. Van Loan,Charles Van Loan
Charles Joseph Colbourn,Charles J. Colbourn
Charles Lee Isbell Jr.,Charles L. Isbell Jr.
Charles R. Wallace,Charles Wallace
Charlie E. Hughes,Charles E. Hughes
Charlie McDowell,Charles E. McDowell
Chase Q. Wu,Chase Qishi Wu
Chatchavan Wacharamanotham,Chat Wacharamanotham
Chebiyyam Siva Ram Murthy,C. Siva Ram Murthy
Chee K. Yap,Chee-Keng Yap
Chee Yap,Chee-Keng Yap
Chee-Yong Chan,Chee Yong Chan
Chengxiang Zhai,ChengXiang Zhai
Cheryl Denise Seals,Cheryl D. Seals
Cheryl Seals,Cheryl D. Seals
Chi-Kin Chau,Sid Chi-Kin Chau
Ching-Hua Chow,C. Edward Chow
Chinmay Eishan Kulkarni,Chinmay Kulkarni
Chiru Bhattacharyya,Chiranjib Bhattacharyya
Chitta Mandal,Chittaranjan A. Mandal
Chittaranjan Mandal 0001,Chittaranjan A. Mandal
Chongjun Wang,Chong-Jun Wang
Chongkwon Kim,Chong-kwon Kim
Chris Amato,Christopher Amato
Chris Bailey,Christopher Bailey 0002
Chris Biemann,Christian Biemann
Chris Bystroff,Christopher Bystroff
Chris Clack,Christopher D. Clack
Chris Ding,Chris H. Q. Ding
Chris Fermüller,Christian G. Fermüller
Chris Pal,Christopher Joseph Pal
Chris R. Johnson 0001,Christopher R. Johnson 0001
Chris Scaffidi,Christopher Scaffidi
Chris Umans,Christopher Umans
Chris W. Johnson 0001,Christopher W. Johnson 0001
Chris Wojtan,Christopher Wojtan
Christian Darken,Christian J. Darken
Christian Guetl,Christian Gütl
Christian Nørgaard Storm Pedersen,Christian N. S. Pedersen
Christian R. Huyck,Christian Robert Huyck
Christiane Neme Campos,C. N. Campos
Christiano de O. Braga,Christiano Braga
Christine Largeron-Leténo,Christine Largeron
Christine Lv,Qin Lv
Christine Lætitia Lisetti,Christine L. Lisetti
Christof Hübner,Christof Huebner
Christoffer R. Heckman,Christoffer Heckman
Christoph E. Koch,Christoph Koch 0001
Christoph Meyer 0001,Christoph M. Kirsch
Christopher A. Leckie,Christopher Leckie
Christopher Bailey-Kellogg,Chris Bailey-Kellogg
Christopher J. Dutchyn,Christopher Dutchyn
Christopher J. Pal,Christopher Joseph Pal
Christopher Jason Peikert,Chris Peikert
Christopher Kruegel,Christopher Krügel
Christopher L. North,Chris North
Christopher M. Homan,Christopher Homan
Christopher M. Jermaine,Chris Jermaine
Christopher Michael Homan,Christopher Homan
Christopher Parnin,Chris Parnin
Christopher Piech,Chris Piech
Christopher Russell 0001,Chris Russell 0001
Christopher W. Clifton,Chris Clifton
Christopher William Geib,Christopher W. Geib
Christos Harilaos Papadimitriou,Christos H. Papadimitriou
Chuck Hansen,Charles D. Hansen
Chung-Chieh Jay Kuo,C.-C. Jay Kuo
Chungming Huang,Chung-Ming Huang
Cid Carvalho de Souza,Cid C. de Souza
Cigdem Gunduz Demir,Cigdem Demir
Cigdem Gunduz,Cigdem Demir
Cindy Marling,Cynthia R. Marling
Cindy Xinmin Chen,Cindy X. Chen
Claire Jennifer Tomlin,Claire J. Tomlin
Claire Kenyon,Claire Mathieu
Claire Kenyon-Mathieu,Claire Mathieu
Claire Tomlin,Claire J. Tomlin
Clarindo Isaías P. S. Pádua,Clarindo Isaías Pereira da Silva e Pádua
Clarindo Pádua,Clarindo Isaías Pereira da Silva e Pádua
Clarisse S. de Souza,Clarisse Sieckenius de Souza
Clark Barrett,Clark W. Barrett
Clark D. Thompson,Clark D. Thomborson
Clark David Thomborson,Clark D. Thomborson
Claudia Linnhoff,Claudia Linnhoff-Popien
Claudia Lucía Jiménez-Guarín,Claudia Jiménez-Guarín
Claudia Popien,Claudia Linnhoff-Popien
Claudio Gutiérrez 0001,Claudio Gutierrez
Clelia De Felice,Clelia de Felice
Cliff C. Zou,Cliff Changchun Zou
Cliff Stein,Clifford Stein
Clinton Jeffery,Clinton L. Jeffery
Clodoveu Augusto Davis Jr.,Clodoveu A. Davis Jr.
Clodoveu Augusto Davis Junior,Clodoveu A. Davis Jr.
Clyde Lee Giles,C. Lee Giles
Cláudia Werner,Cláudia Maria Lima Werner
Cláudio F. R. Geyer,Cláudio Fernando Resin Geyer
Cláudio L. Amorim,Claudio Luis de Amorim
Cláudio Teixeira Silva,Cláudio T. Silva
Cláudio Toledo,Claudio Fabiano Motta Toledo
Colin Graeme Johnson,Colin G. Johnson
